Feature_Names,Compartment,Type,Specific,Definition,Map_Method,Structure_Specificity
PAS+ textural homogeneity,PAS+,Texture,Homogeneity,Measures the closeness of the distribution of elements in the GLCM to the GLCM diagonal.  Higher in regions of generally uniform intensity.,Region Specific Map,Non_Structure_Specific
Mean ratio of PAS+ pixels lying just outside nuclear perimeter to length of perimeter,PAS+_Nuclei,Containment,Mean Ratio PAS+ Pixels outside of Nuclear Perimeter,Ratio between PAS+ pixel count outside the maximum span of nuclei and the convex hull perimeter of nuclei.,Object Specific Map,Non_Structure_Specific
Mean ratio of luminal pixels lying just outside nuclear perimeter to length of perimeter,Lumen_Nuclei,Containment,Mean Ratio of Luminal Pixels outside of Nuclear Perimeter,Ratio between luminal pixel count outside the maximum span of nuclei and the convex hull perimeter of nuclei.,Object Specific Map,Non_Structure_Specific
Mean nuclear perimeter pixel count,Nuclei,Morphological,Perimeter,Mean perimeter of nuclei,Object Specific Map,Non_Structure_Specific
Sum total nuclear area,Nuclei,Morphological,Sum Areas,Sum of all nuclear areas,Object Specific Map,Non_Structure_Specific
Mean nuclear areas,Nuclei,Morphological,Mean Areas,Mean area of nuclei,Similarity Map,Non_Structure_Specific
Mode nuclear areas,Nuclei,Morphological,Mode Areas,Mode area of nuclei,Similarity Map,Non_Structure_Specific
Nuclear textural contrast,Nuclei,Texture,Contrast,Measures the local variations in the GLCM.  Higher in regions of sharp intensity change.,Region Specific Map,Non_Structure_Specific
Nuclear textural correlation,Nuclei,Texture,Correlation,Measures the joint probability occurrence of the specified pixel pairs.  Higher in regions with a high number of repeated values.,Region Specific Map,Non_Structure_Specific
Nuclear textural energy,Nuclei,Texture,Energy,Provides the sum of squared elements in the GLCM.  Also known as uniformity or the angular second moment.  High in areas of high intensity,Region Specific Map,Non_Structure_Specific
Nuclear textural homogeneity,Nuclei,Texture,Homogeneity,Measures the closeness of the distribution of elements in the GLCM to the GLCM diagonal.  Higher in regions of generally uniform intensity.,Region Specific Map,Non_Structure_Specific
Mean distance of luminal object centroids from structure centroid,Lumen,RelativeDistance,Mean Distance to Structure Centroid,Average distance of luminal object centroids to the glomerular centroid,Similarity Map,Glom_Specific
Mean of mean distances of luminal object centroids from structure boundary,Lumen,RelativeDistance,Mean Mean Distance to Structure Boundary,Average of distances between luminal object centroids and glomerular boundaries,Similarity Map,Glom_Specific
Mean of maximum distances of luminal object centroids from structure boundary,Lumen,RelativeDistance,Mean Max Distance to Structure Boundary,Average of distances between luminal object centroids and the furthest glomerular boundary,Similarity Map,Glom_Specific
Mean of minimum distances of luminal object centroids from structure boundary,Lumen,RelativeDistance,Mean Min Distance to Structure Boundary,Average of distances between luminal object centroids and the closest glomerular boundary,Similarity Map,Glom_Specific
Mean of mean distances of luminal object centroids from themselves,Lumen,RelativeDistance,Mean Mean Distance to themselves,Mean distance of luminal objects to other luminal objects an average distance away,Similarity Map,Glom_Specific
Mean of maximum distances of luminal object centroids from themselves,Lumen,RelativeDistance,Mean Max Distance to themselves,Mean distance of luminal objects to the furthest away luminal object,Similarity Map,Glom_Specific
Mean of minimum distances of luminal object centroids from themselves,Lumen,RelativeDistance,Mean Min Distance to themselves,Mean distance of luminal objects to the closest luminal object,Similarity Map,Glom_Specific
Mean distance of PAS+ object centroids from structure centroid,PAS+,RelativeDistance,Mean Distance to Structure Centroid,Average distance of PAS+ objects to the glomerular centroid,Similarity Map,Glom_Specific
Mean of mean distances of PAS+ object centroids from structure boundary,PAS+,RelativeDistance,Mean Mean Distance to Structure Boundary,Average of distances between PAS+ object centroids and glomerular boundaries,Similarity Map,Glom_Specific
Mean of maximum distances of PAS+ object centroids from structure boundary,PAS+,RelativeDistance,Mean Max Distance to Structure Boundary,Mean distance of PAS+ objects to the furthest away structure boundary,Similarity Map,Glom_Specific
Mean of minimum distances of PAS+ object centroids from structure boundary,PAS+,RelativeDistance,Mean Min Distance to Structure Boundary,Mean distance of PAS+ objects to the closest structure boundary,Similarity Map,Glom_Specific
Mean of mean distances of PAS+ object centroids from themselves,PAS+,RelativeDistance,Mean Mean Distance to themselves,Mean distance of PAS+ objects to other PAS+ objects an average distance away,Similarity Map,Glom_Specific
Mean of maximum distances of PAS+ object centroids from themselves,PAS+,RelativeDistance,Mean Max Distance to themselves,Mean distance of PAS+ objects to the furthest away PAS+ object,Similarity Map,Glom_Specific
Mean of minimum distances of PAS+ object centroids from themselves,PAS+,RelativeDistance,Mean Min Distance to themselves,Mean distance of PAS+ objects to the closest PAS+ object,Similarity Map,Glom_Specific
Mean distance of nuclear object centroids from structure centroid,Nuclei,RelativeDistance,Mean Distance to Structure Centroid,Mean distance of Nuclei to the structure centroid,Similarity Map,Non_Structure_Specific
Mean of mean distances of nuclear object centroids from structure boundary,Nuclei,RelativeDistance,Mean Mean Distance to Structure Boundary,Mean distance of nuclei to the average structure boundary,Similarity Map,Non_Structure_Specific
Mean of maximum distances of nuclear object centroids from structure boundary,Nuclei,RelativeDistance,Mean Max Distance to Structure Boundary,Mean distance of nuclei to the furthest away structure boundary,Similarity Map,Glom_Specific
Mean of minimum distances of nuclear object centroids from structure boundary,Nuclei,RelativeDistance,Mean Min Distance to Structure Boundary,Mean distance of nuclei to the closest structure boundary,Similarity Map,Glom_Specific
Mean of mean distances of nuclear object centroids from themselves,Nuclei,RelativeDistance,Mean Mean Distance to themselves,Mean distance of nuclei to other nuclei an average distance away,Similarity Map,Non_Structure_Specific
Mean of maximum distances of nuclear object centroids from themselves,Nuclei,RelativeDistance,Mean Max Distance to themselves,Mean distance of nuclei to the furthest away nucleus,Similarity Map,Non_Structure_Specific
Mean of minimum distances of nuclear object centroids from themselves,Nuclei,RelativeDistance,Mean Min Distance to themselves,Mean distance of nuclei to the closest nucleus,Similarity Map,Non_Structure_Specific
Total structure area,Global,Morphological,Area,Total area contained within Bowman's Capsule excluding parietal epithelium.  (measured in pixels^2),Object Specific Map,Non_Structure_Specific
Total PAS+ object number,PAS+,Morphological,Object Number,Number of disconnected PAS+ objects,Object Specific Map,Non_Structure_Specific
Total luminal object number,Lumen,Morphological,Object Number,Number of disconnected luminal objects,Object Specific Map,Non_Structure_Specific
Total nucleus number,Nuclei,Morphological,Object Number,Number of nuclei,Object Specific Map,Non_Structure_Specific
Sum of PAS+ distance transform values 0<d<=10,PAS+,Size,Sum Range: 0-10,Sum of PAS+ distance transform values between 0 and 10.  The distance transform measures the distance between each PAS+ pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Sum of PAS+  distance transform values 10<d<=20,PAS+,Size,Sum Range: 10-20,Sum of PAS+ distance transform values between 10 and 20.  The distance transform measures the distance between each PAS+ pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Sum of PAS+  distance transform values 20<d<=1000,PAS+,Size,Sum Range: 20-1000,Sum of PAS+ distance transform values between 20 and 1000.  The distance transform measures the distance between each PAS+ pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Maximum PAS+ distance transform value 10<d<=20,PAS+,Size,Max Range: 10-20,Maximum value of PAS+ distance transform values between 10 and 20. The distance transform measures the distance between each PAS+ pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Number of connected objects with PAS+  distance transform value 0<d<=10,PAS+,Size,Object Number Range: 0-10,Number of separated objects with PAS+ distance transform values between 0 and 10. The distance transform measures the distance between each PAS+ pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Number of connected objects with PAS+  distance transform value 10<d<=20,PAS+,Size,Object Number Range: 10-20,Number of separated objects with PAS+ distance transform values between 10 and 20. The distance transform measures the distance between each PAS+ pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Mean of PAS+ distance transform values 0<d<=10,PAS+,Size,Mean Range: 0-10,Mean PAS+ distance transform value between 0 and 10. The distance transform measures the distance between each PAS+ pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Mean of PAS+  distance transform values 10<d<=20,PAS+,Size,Mean Range: 10-20,Mean PAS+ distance transform value between 10 and 20. The distance transform measures the distance between each PAS+ pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Median of PAS+  distance transform values 0<d<=10,PAS+,Size,Median Range: 0-10,Median PAS+ distance transform value between 0 and 10. The distance transform measures the distance between each PAS+ pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Median of PAS+  distance transform values 10<d<=20,PAS+,Size,Median Range: 10-20,Median PAS+ distance transform value between 10 and 20. The distance transform measures the distance between each PAS+ pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Mean area of objects with PAS+ distance transform value 0<d<=10,PAS+,Size,Mean Area Range: 0-10,Mean area of PAS+ objects with distance transform values between 0 and 10. The distance transform measures the distance between each PAS+ pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Median area of objects with PAS+ distance transform value 0<d<=10,PAS+,Size,Median Area Range: 0-10,Median area of PAS+ objects with distance transform values between 0 and 10. The distance transform measures the distance between each PAS+ pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Maximum area of objects with PAS+ distance transform value 0<d<=10,PAS+,Size,Maximum Area Range: 0-10,Maximum area of PAS+ objects with distance trasnform values between 0 and 10. The distance transform measures the distance between each PAS+ pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Mean area of objects with PAS+ distance transform value 10<d<=20,PAS+,Size,Mean Area Range: 10-20,Mean area of PAS+ objects with distance transform values between 10 and 20. The distance transform measures the distance between each PAS+ pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Median area of objects with PAS+ distance transform value 10<d<=20,PAS+,Size,Median Area Range: 10-20,Median area of PAS+ objects with distance transform values between 10 and 20. The distance transform measures the distance between each PAS+ pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with PAS+ distance transform value 1<d<=3,PAS+,Size,Pixel Count: 1-3,Count of PAS+ pixels with distance transform between 1 and 3. The distance transform measures the distance between each PAS+ pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with PAS+ distance transform value 3<d<=5,PAS+,Size,Pixel Count: 3-5,Count of PAS+ pixels with distance transform between 3 and 5. The distance transform measures the distance between each PAS+ pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with PAS+ distance transform value 5<d<=7,PAS+,Size,Pixel Count: 5-7,Count of PAS+ pixels with distance transform between 5 and 7. The distance transform measures the distance between each PAS+ pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with PAS+ distance transform value 7<d<=9,PAS+,Size,Pixel Count: 7-9,Count of PAS+ pixels with distance transform between 7 and 9. The distance transform measures the distance between each PAS+ pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with PAS+ distance transform value 9<d<=11,PAS+,Size,Pixel Count: 9-11,Count of PAS+ pixels with distance transform between 9 and 11. The distance transform measures the distance between each PAS+ pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with PAS+ distance transform value 11<d<=13,PAS+,Size,Pixel Count: 11-13,Count of PAS+ pixels with distance transform between 11 and 13. The distance transform measures the distance between each PAS+ pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with PAS+ distance transform value 13<d<=15,PAS+,Size,Pixel Count: 13-15,Count of PAS+ pixels with distance transform between 13 and 15. The distance transform measures the distance between each PAS+ pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with PAS+ distance transform value 15<d<=17,PAS+,Size,Pixel Count: 15-17,Count of PAS+ pixels with distance transform between 15 and 17. The distance transform measures the distance between each PAS+ pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with PAS+ distance transform value 17<d<=19,PAS+,Size,Pixel Count: 17-19,Count of PAS+ pixels with distance transform between 17 and 19. The distance transform measures the distance between each PAS+ pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with PAS+ distance transform value 19<d<=21,PAS+,Size,Pixel Count: 19-21,Count of PAS+ pixels with distance transform between 19 and 21. The distance transform measures the distance between each PAS+ pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with PAS+ distance transform value 21<d<=23,PAS+,Size,Pixel Count: 21-23,Count of PAS+ pixels with distance transform between 21 and 23. The distance transform measures the distance between each PAS+ pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with PAS+ distance transform value 23<d<=25,PAS+,Size,Pixel Count: 23-25,Count of PAS+ pixels with distance transform between 23 and 25. The distance transform measures the distance between each PAS+ pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with PAS+ distance transform value 25<d<=27,PAS+,Size,Pixel Count: 25-27,Count of PAS+ pixels with distance transform between 25 and 27. The distance transform measures the distance between each PAS+ pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with PAS+ distance transform value 27<d<=29,PAS+,Size,Pixel Count: 27-29,Count of PAS+ pixels with distance transform between 27 and 29. The distance transform measures the distance between each PAS+ pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with PAS+ distance transform value 29<d<=31,PAS+,Size,Pixel Count: 29-31,Count of PAS+ pixels with distance transform between 29 and 31. The distance transform measures the distance between each PAS+ pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with PAS+ distance transform value 31<d<=33,PAS+,Size,Pixel Count: 31-33,Count of PAS+ pixels with distance transform between 31 and 33. The distance transform measures the distance between each PAS+ pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with PAS+ distance transform value 33<d<=35,PAS+,Size,Pixel Count: 33-35,Count of PAS+ pixels with distance transform between 33 and 35. The distance transform measures the distance between each PAS+ pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with PAS+ distance transform value 35<d<=37,PAS+,Size,Pixel Count: 35-37,Count of PAS+ pixels with distance transform between 35 and 37. The distance transform measures the distance between each PAS+ pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with PAS+ distance transform value 37<d<=39,PAS+,Size,Pixel Count: 37-39,Count of PAS+ pixels with distance transform between 37 and 39. The distance transform measures the distance between each PAS+ pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with PAS+ distance transform value 39<d<=41,PAS+,Size,Pixel Count: 39-41,Count of PAS+ pixels with distance transform between 39 and 41. The distance transform measures the distance between each PAS+ pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with PAS+ distance transform value 41<d<=43,PAS+,Size,Pixel Count: 41-43,Count of PAS+ pixels with distance transform between 41 and 43. The distance transform measures the distance between each PAS+ pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with PAS+ distance transform value 43<d<=45,PAS+,Size,Pixel Count: 43-45,Count of PAS+ pixels with distance transform between 43 and 45. The distance transform measures the distance between each PAS+ pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with PAS+ distance transform value 45<d<=47,PAS+,Size,Pixel Count: 45-47,Count of PAS+ pixels with distance transform between 45 and 47. The distance transform measures the distance between each PAS+ pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with PAS+ distance transform value 47<d<=49,PAS+,Size,Pixel Count: 47-49,Count of PAS+ pixels with distance transform between 47 and 49. The distance transform measures the distance between each PAS+ pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with PAS+ distance transform value 49<d<=51,PAS+,Size,Pixel Count: 49-51,Count of PAS+ pixels with distance transform between 49 and 51. The distance transform measures the distance between each PAS+ pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with PAS+ distance transform value 51<d<=53,PAS+,Size,Pixel Count: 51-53,Count of PAS+ pixels with distance transform between 51 and 53. The distance transform measures the distance between each PAS+ pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with PAS+ distance transform value 53<d<=55,PAS+,Size,Pixel Count: 53-55,Count of PAS+ pixels with distance transform between 53 and 55. The distance transform measures the distance between each PAS+ pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with PAS+ distance transform value 55<d<=57,PAS+,Size,Pixel Count: 55-57,Count of PAS+ pixels with distance transform between 55 and 57. The distance transform measures the distance between each PAS+ pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with PAS+ distance transform value 57<d<=59,PAS+,Size,Pixel Count: 57-59,Count of PAS+ pixels with distance transform between 57 and 59. The distance transform measures the distance between each PAS+ pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with PAS+ distance transform value 59<d<=61,PAS+,Size,Pixel Count: 59-61,Count of PAS+ pixels with distance transform between 59 and 61. The distance transform measures the distance between each PAS+ pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with PAS+ distance transform value 61<d<=63,PAS+,Size,Pixel Count: 61-63,Count of PAS+ pixels with distance transform between 61 and 63. The distance transform measures the distance between each PAS+ pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with PAS+ distance transform value 63<d<=65,PAS+,Size,Pixel Count: 63-65,Count of PAS+ pixels with distance transform between 63 and 65. The distance transform measures the distance between each PAS+ pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with PAS+ distance transform value 65<d<=67,PAS+,Size,Pixel Count: 65-67,Count of PAS+ pixels with distance transform between 65 and 67. The distance transform measures the distance between each PAS+ pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with PAS+ distance transform value 67<d<=69,PAS+,Size,Pixel Count: 67-69,Count of PAS+ pixels with distance transform between 67 and 69. The distance transform measures the distance between each PAS+ pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with PAS+ distance transform value 69<d<=71,PAS+,Size,Pixel Count: 69-71,Count of PAS+ pixels with distance transform between 69 and 71. The distance transform measures the distance between each PAS+ pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with PAS+ distance transform value 71<d<=73,PAS+,Size,Pixel Count: 71-73,Count of PAS+ pixels with distance transform between 71 and 73. The distance transform measures the distance between each PAS+ pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with PAS+ distance transform value 73<d<=75,PAS+,Size,Pixel Count: 73-75,Count of PAS+ pixels with distance transform between 73 and 75. The distance transform measures the distance between each PAS+ pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with PAS+ distance transform value 75<d<=77,PAS+,Size,Pixel Count: 75-77,Count of PAS+ pixels with distance transform between 75 and 77. The distance transform measures the distance between each PAS+ pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with PAS+ distance transform value 77<d<=79,PAS+,Size,Pixel Count: 77-79,Count of PAS+ pixels with distance transform between 77 and 79. The distance transform measures the distance between each PAS+ pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with PAS+ distance transform value 79<d<=2000,PAS+,Size,Pixel Count: 79-2000,Count of PAS+ pixels with distance transform between 79 and 2000. The distance transform measures the distance between each PAS+ pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with luminal distance transform value 1<d<=2,Lumen,Size,Pixel Count: 1-2,Count of luminal pixels with distance transform between 1 and 2. The distance transform measures the distance between each luminal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with luminal distance transform value 2<d<=3,Lumen,Size,Pixel Count: 2-3,Count of luminal pixels with distance transform between 2 and 3. The distance transform measures the distance between each luminal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with luminal distance transform value 3<d<=4,Lumen,Size,Pixel Count: 3-4,Count of luminal pixels with distance transform between 3 and 4. The distance transform measures the distance between each luminal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with luminal distance transform value 4<d<=5,Lumen,Size,Pixel Count: 4-5,Count of luminal pixels with distance transform between 4 and 5. The distance transform measures the distance between each luminal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with luminal distance transform value 5<d<=6,Lumen,Size,Pixel Count: 5-6,Count of luminal pixels with distance transform between 5 and 6. The distance transform measures the distance between each luminal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with luminal distance transform value 6<d<=7,Lumen,Size,Pixel Count: 6-7,Count of luminal pixels with distance transform between 6 and 7. The distance transform measures the distance between each luminal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with luminal distance transform value 7<d<=8,Lumen,Size,Pixel Count: 7-8,Count of luminal pixels with distance transform between 7 and 8. The distance transform measures the distance between each luminal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with luminal distance transform value 8<d<=9,Lumen,Size,Pixel Count: 8-9,Count of luminal pixels with distance transform between 8 and 9. The distance transform measures the distance between each luminal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with luminal distance transform value 9<d<=10,Lumen,Size,Pixel Count: 9-10,Count of luminal pixels with distance transform between 9 and 10. The distance transform measures the distance between each luminal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with luminal distance transform value 10<d<=11,Lumen,Size,Pixel Count: 10-11,Count of luminal pixels with distance transform between 10 and 11. The distance transform measures the distance between each luminal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with luminal distance transform value 11<d<=12,Lumen,Size,Pixel Count: 11-12,Count of luminal pixels with distance transform between 11 and 12. The distance transform measures the distance between each luminal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with luminal distance transform value 12<d<=13,Lumen,Size,Pixel Count: 12-13,Count of luminal pixels with distance transform between 12 and 13. The distance transform measures the distance between each luminal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with luminal distance transform value 13<d<=14,Lumen,Size,Pixel Count: 13-14,Count of luminal pixels with distance transform between 13 and 14. The distance transform measures the distance between each luminal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with luminal distance transform value 14<d<=15,Lumen,Size,Pixel Count: 14-15,Count of luminal pixels with distance transform between 14 and 15. The distance transform measures the distance between each luminal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with luminal distance transform value 15<d<=16,Lumen,Size,Pixel Count: 15-16,Count of luminal pixels with distance transform between 15 and 16. The distance transform measures the distance between each luminal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with luminal distance transform value 16<d<=17,Lumen,Size,Pixel Count: 16-17,Count of luminal pixels with distance transform between 16 and 17. The distance transform measures the distance between each luminal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with luminal distance transform value 17<d<=18,Lumen,Size,Pixel Count: 17-18,Count of luminal pixels with distance transform between 17 and 18. The distance transform measures the distance between each luminal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with luminal distance transform value 18<d<=19,Lumen,Size,Pixel Count: 18-19,Count of luminal pixels with distance transform between 18 and 19. The distance transform measures the distance between each luminal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with luminal distance transform value 19<d<=20,Lumen,Size,Pixel Count: 19-20,Count of luminal pixels with distance transform between 19 and 20. The distance transform measures the distance between each luminal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with luminal distance transform value 20<d<=21,Lumen,Size,Pixel Count: 20-21,Count of luminal pixels with distance transform between 20 and 21. The distance transform measures the distance between each luminal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with luminal distance transform value 21<d<=22,Lumen,Size,Pixel Count: 21-22,Count of luminal pixels with distance transform between 21 and 22. The distance transform measures the distance between each luminal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with luminal distance transform value 22<d<=23,Lumen,Size,Pixel Count: 22-23,Count of luminal pixels with distance transform between 22 and 23. The distance transform measures the distance between each luminal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with luminal distance transform value 23<d<=24,Lumen,Size,Pixel Count: 23-24,Count of luminal pixels with distance transform between 23 and 24. The distance transform measures the distance between each luminal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with luminal distance transform value 24<d<=25,Lumen,Size,Pixel Count: 24-25,Count of luminal pixels with distance transform between 24 and 25. The distance transform measures the distance between each luminal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with luminal distance transform value 25<d<=26,Lumen,Size,Pixel Count: 25-26,Count of luminal pixels with distance transform between 25 and 26. The distance transform measures the distance between each luminal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with luminal distance transform value 26<d<=27,Lumen,Size,Pixel Count: 26-27,Count of luminal pixels with distance transform between 26 and 27. The distance transform measures the distance between each luminal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with luminal distance transform value 27<d<=28,Lumen,Size,Pixel Count: 27-28,Count of luminal pixels with distance transform between 27 and 28. The distance transform measures the distance between each luminal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
Count of pixels with luminal distance transform value 28<d<=29,Lumen,Size,Pixel Count: 28-29,Count of luminal pixels with distance transform between 28 and 29. The distance transform measures the distance between each luminal pixel and other labeled pixels.,Region Specific Map,Glom_Specific
